player,phase,total_innings,high_pressure_innings,low_pressure_innings,pts,high_dismissal_rate,low_dismissal_rate,sr_delta,high_pressure_sr,low_pressure_sr,boundary_delta,high_pressure_boundary_pct,low_pressure_boundary_pct,overall_sr,overall_dismissal_rate,overall_dot_density
MD Shanaka,Death,41,10,31,3.1,0.9,0.2903,-88.49,82.71,171.21,-0.1444,0.1,0.2444,149.62,0.439,0.2895
KADA Kanchana,Death,15,4,11,0.917,0.5,0.5455,-29.95,90.7,120.65,0.0016,0.1131,0.1115,112.67,0.5333,0.3038
OU Ranasinghe,Death,15,5,10,2.0,0.8,0.4,-32.43,61.49,93.91,-0.0123,0.0662,0.0785,83.11,0.5333,0.3983
CR Brathwaite,Death,19,5,14,1.6,0.8,0.5,-49.07,133.18,182.25,-0.0477,0.211,0.2587,169.34,0.5789,0.2978
KH Pandya,Death,35,4,31,3.444,1.0,0.2903,-19.36,136.9,156.26,0.0424,0.2489,0.2065,154.05,0.3714,0.2083
RR Pant,Death,41,6,35,1.458,0.6667,0.4571,-66.65,124.86,191.51,-0.1077,0.1883,0.2959,181.76,0.4878,0.2566
Ehsan Khan,Death,20,3,17,3.4,1.0,0.2941,-63.95,71.11,135.06,-0.0612,0.0741,0.1353,125.47,0.4,0.2523
Aliya Riaz,Death,35,7,28,3.0,0.8571,0.2857,-42.24,105.03,147.27,-0.0271,0.1331,0.1602,138.82,0.4,0.2708
LMM Tahuhu,Death,14,6,8,0.889,0.3333,0.375,-79.92,100.53,180.45,-0.111,0.1213,0.2323,146.2,0.3571,0.2896
JA Richardson,Death,18,4,14,0.875,0.25,0.2857,-90.93,48.51,139.44,-0.0999,0.0312,0.1311,119.24,0.2778,0.3043
IS Sodhi,Death,13,6,7,1.167,0.6667,0.5714,-44.49,89.95,134.44,-0.04,0.1034,0.1434,113.9,0.6154,0.3775
Kuldeep Yadav,Death,20,11,9,0.614,0.2727,0.4444,-29.11,79.06,108.17,0.0077,0.0903,0.0826,92.16,0.35,0.3882
RA Tripathi,Death,11,5,6,2.4,0.8,0.3333,-123.2,89.15,212.35,-0.214,0.1182,0.3322,156.35,0.5455,0.3573
R Tewatia,Death,35,4,31,2.114,0.75,0.3548,-60.96,109.38,170.34,-0.0452,0.1979,0.2431,163.37,0.4,0.2465
R Powell,Death,38,6,32,1.684,1.0,0.5938,-112.58,73.91,186.49,-0.1804,0.084,0.2644,168.71,0.6579,0.2666
Faheem Ashraf,Death,26,5,21,1.75,1.0,0.5714,-78.65,79.67,158.32,-0.0834,0.1,0.1834,143.19,0.6538,0.2756
AT Carey,Death,16,4,12,1.714,1.0,0.5833,-96.75,71.07,167.82,-0.1842,0.0357,0.2199,143.63,0.6875,0.2566
JC Archer,Death,17,3,14,3.5,1.0,0.2857,-91.58,82.96,174.54,-0.111,0.1037,0.2147,158.38,0.4118,0.2513
