player,phase,total_innings,high_pressure_innings,low_pressure_innings,pts,high_dismissal_rate,low_dismissal_rate,sr_delta,high_pressure_sr,low_pressure_sr,boundary_delta,high_pressure_boundary_pct,low_pressure_boundary_pct,overall_sr,overall_dismissal_rate,overall_dot_density
F Overdijk,Death,13,4,9,0.9,0.5,0.5556,-44.41,76.88,121.3,-0.0826,0.0436,0.1262,107.63,0.5385,0.2964
S Vijay Unni,Death,11,4,7,0.438,0.25,0.5714,-57.76,68.83,126.59,-0.0521,0.059,0.1111,105.58,0.4545,0.3185
Towhid Hridoy,Death,13,3,10,0.0,0.0,0.7,-61.91,104.76,166.67,-0.112,0.0952,0.2072,152.39,0.5385,0.2819
K Piet,Death,10,5,5,3.0,0.6,0.2,-3.29,77.38,80.67,0.046,0.0726,0.0267,79.02,0.4,0.4443
I Takahashi,Death,10,3,7,1.75,1.0,0.5714,-81.1,122.22,203.32,-0.0767,0.2111,0.2878,178.99,0.7,0.3327
Shakeel Ahmed,Death,13,5,8,1.6,0.6,0.375,-29.33,107.62,136.95,-0.0093,0.1472,0.1565,125.67,0.4615,0.3155
Gulsan Jha,Death,14,4,10,0.833,0.5,0.6,-81.34,114.28,195.62,-0.0681,0.1988,0.2669,172.38,0.5714,0.338
Muhammad Nadir,Death,11,6,5,2.5,0.5,0.2,-63.68,66.2,129.87,-0.0267,0.1017,0.1284,95.14,0.3636,0.4591
E Beukes,Death,14,4,10,1.667,0.5,0.3,-19.38,169.44,188.83,0.0023,0.2798,0.2775,183.29,0.3571,0.2817
Ahmad Ramdoni,Death,20,5,15,2.25,0.6,0.2667,-73.76,72.02,145.79,-0.1189,0.0619,0.1808,127.35,0.35,0.315
M Mwatile,Death,11,4,7,1.75,0.75,0.4286,-46.79,85.12,131.91,-0.0167,0.0857,0.1024,114.89,0.5455,0.342
Ahmed Aqeel,Death,13,3,10,5.0,1.0,0.2,-10.0,147.22,157.22,0.0636,0.1944,0.1308,154.91,0.3846,0.2097
Tanzim Hasan Sakib,Death,10,4,6,0.375,0.25,0.6667,-75.44,69.9,145.34,-0.0824,0.0922,0.1745,115.17,0.5,0.373
