batter,low_pressure_rate,high_pressure_rate,pressure_increase,balls_faced
AP Tare,6.746031746031746,0.0,-6.746031746031746,285
AP Yadav,2.941176470588235,0.0,-2.941176470588235,927
AR Balla,3.8461538461538463,8.333333333333332,4.4871794871794854,124
AR Bisht,3.8461538461538463,0.0,-3.8461538461538463,145
AR Cusack,7.03125,0.0,-7.03125,136
AR McBrine,7.6923076923076925,0.0,-7.6923076923076925,110
AR Naidoo,3.571428571428571,3.571428571428571,0.0,463
AR Patel,5.091103965702037,4.081632653061225,-1.0094713126408124,2018
AR Patwa,4.561824729891957,2.564102564102564,-1.9977221657893933,1000
AR Ramjani,5.142857142857142,4.545454545454546,-0.5974025974025965,583
AR Valdez,2.358490566037736,0.0,-2.358490566037736,278
ARA Chambers,4.368932038834951,6.25,1.8810679611650487,242
AS Gorad,3.343465045592705,1.7543859649122806,-1.5890790806804242,438
AS Joseph,4.895104895104895,0.0,-4.895104895104895,162
AS Miranda,6.8181818181818175,4.3478260869565215,-2.470355731225296,122
AS Qwele,6.837606837606838,9.523809523809524,2.6862026862026855,157
AS Raut,4.45859872611465,0.0,-4.45859872611465,172
AS Samra,4.076086956521739,0.0,-4.076086956521739,420
AS Wikman,4.511278195488721,0.0,-4.511278195488721,147
AS Withanage,3.546099290780142,3.8461538461538463,0.3000545553737042,184
ASF Sirah,6.896551724137931,0.0,-6.896551724137931,196
ASS Fletcher,7.725321888412018,0.0,-7.725321888412018,262
AT Carey,3.96873120865905,5.555555555555555,1.5868243468965053,1804
AT Nidamanuru,7.281553398058252,0.0,-7.281553398058252,232
AT Rayudu,4.024960998439937,1.6666666666666667,-2.35829433177327,3541
AU Rashid,8.095238095238095,20.0,11.904761904761905,226
AUKDS Kalugala,8.187134502923977,0.0,-8.187134502923977,197
AV Lazarus,3.7102473498233217,4.166666666666666,0.45641931684334436,637
AWJ Auguste,4.854368932038835,0.0,-4.854368932038835,121
Aaftab Alam Khan,5.670103092783505,0.0,-5.670103092783505,209
Aamir Kaleem,4.961832061068702,10.714285714285714,5.752453653217011,590
Aamir Lal,5.607476635514018,11.11111111111111,5.503634475597092,128
Aarif Sheikh,4.838709677419355,0.0,-4.838709677419355,479
Aaron Jones,3.877221324717286,6.666666666666667,2.789445341949381,697
Aasif Sheikh,4.437140509449466,1.5151515151515151,-2.921988994297951,1404
Aayan Afzal Khan,5.0359712230215825,20.0,14.964028776978417,162
Abbas Afridi,7.291666666666667,18.181818181818183,10.890151515151516,119
Abbas Ghani,5.607476635514018,7.6923076923076925,2.084831056793674,356
Abdul Hashim,5.9259259259259265,8.333333333333332,2.4074074074074057,163
Abdul Rahman,3.669724770642202,25.0,21.3302752293578,119
Abdul Razzaq,4.229607250755287,5.555555555555555,1.325948304800268,378
Abdul Samad,6.581352833638025,0.0,-6.581352833638025,594
Abdul Shakoor,5.780346820809249,0.0,-5.780346820809249,192
Abdul Waheed,4.0650406504065035,2.857142857142857,-1.2078977932636463,945
Abdul Wahid,3.90625,0.0,-3.90625,136
Abdul-Shakoor Rahimzei,5.607476635514018,7.142857142857142,1.535380507343124,249
Abdullah Khan Lodhi,3.3333333333333335,0.0,-3.3333333333333335,113
Abeer Maryam,5.47945205479452,0.0,-5.47945205479452,108
Abeera Waris,10.2803738317757,0.0,-10.2803738317757,131
Abhijeet Ahuja,3.896103896103896,5.0,1.103896103896104,355
Abhishek Ahuja,5.445544554455446,10.0,4.554455445544554,227
Abhishek Anand,5.555555555555555,0.0,-5.555555555555555,129
Abhishek Sharma,5.292307692307692,5.660377358490567,0.3680696661828744,1778
Abishek Porel,5.755395683453238,11.11111111111111,5.355715427657873,454
Ada Bhasin,6.0606060606060606,1.8867924528301887,-4.173813607775871,319
Adam Senn,3.3057851239669422,0.0,-3.3057851239669422,127
Adama Kamara,3.7037037037037033,4.545454545454546,0.8417508417508426,147
Adil Butt,3.7162162162162162,0.0,-3.7162162162162162,331
Adnan Idrees,8.812260536398467,0.0,-8.812260536398467,298
Adnan Ilyas,4.477611940298507,0.0,-4.477611940298507,149
Adnan Mirza,6.741573033707865,20.0,13.258426966292134,105
Afif Hossain,4.679802955665025,7.6923076923076925,3.0125047366426676,888
Aftab Ahmed,5.7324840764331215,0.0,-5.7324840764331215,174
Agha Salman,4.322200392927308,9.090909090909092,4.768708697981784,563
Ahmad Ramdoni,4.202719406674907,3.296703296703297,-0.9060161099716102,990
Ahmed Aqeel,3.6674816625916873,0.0,-3.6674816625916873,438
Ahmed Faiz,4.153846153846154,1.8518518518518516,-2.3019943019943025,1446
Ahmed Hassan,3.9800995024875623,2.5,-1.4800995024875623,707
Ahmed Raza,4.545454545454546,10.0,5.454545454545454,136
Ahmed Shehzad,3.787195671776375,6.756756756756757,2.969561084980382,1287
Ahmer Bin Nisar,4.318181818181818,0.0,-4.318181818181818,962
Aina Najwa,6.134969325153374,0.0,-6.134969325153374,219
Ainna Hamizah Hashim,2.9641185647425896,4.0,1.0358814352574104,899
Ainool Hafizs,11.052631578947368,0.0,-11.052631578947368,203
Aizaz Khan,6.557377049180328,2.7027027027027026,-3.8546743464776254,939
Akhil Anil,6.179775280898876,0.0,-6.179775280898876,195
Akhil Arjunan,4.878048780487805,0.0,-4.878048780487805,137
Aleena Khan,3.669724770642202,13.333333333333334,9.663608562691131,162
Ali Farasat,7.006369426751593,14.285714285714285,7.279344858962692,181
Ali Masood,3.5135135135135136,12.195121951219512,8.681608437705998,451
Ali Nadeem,1.6260162601626018,0.0,-1.6260162601626018,133
Ali Naseer,7.042253521126761,0.0,-7.042253521126761,225
Ali Nayyer,5.853658536585367,0.0,-5.853658536585367,223
Ali Rahmon,2.608695652173913,0.0,-2.608695652173913,130
Ali Saleem,4.40251572327044,0.0,-4.40251572327044,187
Alina Aslam,1.3986013986013985,20.0,18.6013986013986,172
Aliya Riaz,3.5217794253938832,4.819277108433735,1.2974976830398521,1262
Aman Desai,5.251141552511415,0.0,-5.251141552511415,481
Aman Hakim Khan,8.60215053763441,0.0,-8.60215053763441,109
Amandeep Singh,6.25,0.0,-6.25,126
Amar Naeem,5.0,7.142857142857142,2.1428571428571423,215
Amar Sharma,5.421686746987952,0.0,-5.421686746987952,187
Amarpal Kaur,2.1333333333333333,5.263157894736842,3.1298245614035083,425
Ameel Mauroof,6.25,0.0,-6.25,124
Ameer Saiyed,5.673758865248227,0.0,-5.673758865248227,173
Amelia Jones,0.0,0.0,0.0,152
Aminata Kamara,4.123711340206185,0.0,-4.123711340206185,573
Aminuddin Ramly,6.748466257668712,100.0,93.25153374233129,170
Amir Zaib,5.524861878453039,16.666666666666664,11.141804788213626,199
Amjad Javed,5.319148936170213,0.0,-5.319148936170213,226
Amjad Sher,7.818930041152264,0.0,-7.818930041152264,267
Amna Tariq,4.845814977973569,9.090909090909092,4.245094112935523,625
Amoluk Singh,3.4482758620689653,5.0,1.5517241379310347,249
Amrita Sasidharan,0.0,0.0,0.0,137
Anamul Haque,4.29042904290429,4.545454545454546,0.25502550255025547,353
Angela Busa,9.722222222222223,7.6923076923076925,-2.0299145299145307,113
Aniket Verma,5.384615384615385,0.0,-5.384615384615385,148
Anique Uddin,5.405405405405405,0.0,-5.405405405405405,174
Anjar Tadarus,4.841402337228715,4.761904761904762,-0.07949757532395285,752
Anmolpreet Singh,5.88235294117647,0.0,-5.88235294117647,117
Anoop Orsu,6.25,0.0,-6.25,235
Anshuman Rath,3.683113273106324,2.127659574468085,-1.5554536986382388,1573
Anuj Rawat,4.508196721311475,0.0,-4.508196721311475,276
Anwar Arudin,9.75609756097561,0.0,-9.75609756097561,187
Apsari Begam,3.8461538461538463,7.142857142857142,3.296703296703296,227
Aqib Ilyas,3.5164835164835164,6.521739130434782,3.005255613951266,1031
Aqib Iqbal,4.361370716510903,3.0303030303030303,-1.3310676862078727,717
Aritra Dutta,5.961538461538462,0.0,-5.961538461538462,586
Arjun Vinod,4.009433962264151,0.0,-4.009433962264151,496
Arshdeep Singh,8.16326530612245,0.0,-8.16326530612245,117
Arslan Amjad,5.985915492957746,0.0,-5.985915492957746,327
Arun Yadav,3.7037037037037033,8.333333333333332,4.629629629629629,216
Asad Shafiq,2.976190476190476,0.0,-2.976190476190476,190
Ashfaq Ahmed,9.183673469387756,0.0,-9.183673469387756,112
Ashutosh Sharma,4.979253112033195,0.0,-4.979253112033195,256
Asif Ali,5.290102389078498,3.278688524590164,-2.0114138644883344,1330
Asif Bevinje,4.301075268817205,0.0,-4.301075268817205,102
Asif Khan,5.0492610837438425,0.0,-5.0492610837438425,901
Aslam Khan,7.009345794392523,0.0,-7.009345794392523,246
Aslam Mohammad,6.299212598425196,0.0,-6.299212598425196,155
Asmavia Iqbal,6.909090909090909,0.0,-6.909090909090909,315
Atharva Taide,5.084745762711865,0.0,-5.084745762711865,188
Atif Rasheed,7.602339181286549,16.666666666666664,9.064327485380115,189
Avishka Iroshan,4.18848167539267,7.142857142857142,2.954375467464472,223
Awais Ahmad,5.952380952380952,0.0,-5.952380952380952,100
Awais Ahmed,5.58659217877095,0.0,-5.58659217877095,224
Ayan Khan,5.219206680584551,6.25,1.0307933194154488,531
Ayasha Rahman,5.048543689320388,4.123711340206185,-0.9248323491142028,685
Ayaz Dadabhai,5.982905982905983,0.0,-5.982905982905983,126
Ayesha Hasan,3.428571428571429,0.0,-3.428571428571429,411
Ayesha Naseem,6.25,6.666666666666667,0.41666666666666696,301
Ayesha Zafar,3.8834951456310676,13.333333333333334,9.449838187702266,245
Aysha,3.860294117647059,3.4482758620689653,-0.4120182555780936,617
Ayyaz Qureshi,2.564102564102564,0.0,-2.564102564102564,142
Azhar Andani,1.8018018018018018,14.285714285714285,12.483912483912484,261
Azhar Mahmood,4.946996466431095,6.25,1.303003533568905,321
Aziz Mohammad,5.633802816901409,8.333333333333332,2.699530516431923,169
Azyan Farhath,2.5265957446808507,5.47945205479452,2.9528563101136696,908
B Arora,3.890489913544669,0.0,-3.890489913544669,794
B Balala,4.597701149425287,11.11111111111111,6.513409961685824,104
B Bezuidenhout,8.450704225352112,5.263157894736842,-3.1875463306152705,253
B Bhandari,6.137184115523466,0.0,-6.137184115523466,314
B Biza,5.485232067510549,0.0,-5.485232067510549,277
B Chipli,5.829596412556054,16.666666666666664,10.83707025411061,256
B Cooper,5.7441253263707575,4.838709677419355,-0.9054156489514025,497
B Etim,5.46875,2.631578947368421,-2.837171052631579,342
B Fitchet,7.18954248366013,12.5,5.31045751633987,188
B George,4.130434782608695,11.11111111111111,6.980676328502415,519
B Ichinkhorloo,4.848484848484849,0.0,-4.848484848484849,284
B Ito-Davis,5.172413793103448,100.0,94.82758620689656,184
B Kumar,8.433734939759036,0.0,-8.433734939759036,459
B Laughlin,10.135135135135135,9.090909090909092,-1.0442260442260434,169
B Lee,7.929515418502203,25.0,17.070484581497798,242
B Madimabe,2.5,8.108108108108109,5.608108108108109,137
B Manuel,10.0,6.666666666666667,-3.333333333333333,134
B Masaba,4.451038575667656,0.0,-4.451038575667656,385
B Mpedi,3.571428571428571,13.333333333333334,9.761904761904763,110
B Murekatete,6.622516556291391,11.76470588235294,5.142189326061549,185
B Namuunzul,3.3707865168539324,12.5,9.129213483146067,130
B Niaz,4.761904761904762,0.0,-4.761904761904762,427
B Phelenyane,3.8834951456310676,4.761904761904762,0.8784096162736943,138
B Rawal,4.242424242424243,0.0,-4.242424242424243,450
B Sai Sudharsan,2.6424442609413705,0.0,-2.6424442609413705,1279
B Shanti,5.25,0.0,-5.25,501
B Shetty,2.1052631578947367,0.0,-2.1052631578947367,122
B Shotorova,5.88235294117647,4.0,-1.8823529411764701,123
B Tau,2.846534653465347,2.5974025974025974,-0.24913205606274946,988
B Waluma,6.081081081081082,6.896551724137931,0.815470643056849,199
B Ward,4.0,9.090909090909092,5.090909090909092,448
B de Leede,3.637833468067906,2.5,-1.1378334680679059,1492
BA King,4.340124003542958,12.76595744680851,8.425833443265553,1283
BA Pai,2.4390243902439024,5.555555555555555,3.116531165311653,890
BA Stokes,5.5841924398625435,0.0,-5.5841924398625435,1260
BAD Manenti,8.284023668639055,0.0,-8.284023668639055,191
BB McCullum,4.0750802667325265,2.9268292682926833,-1.1482509984398432,4599
BB Samantray,2.912621359223301,0.0,-2.912621359223301,116
BBJL Perera,4.954954954954955,0.0,-4.954954954954955,251
BCJ Cutting,5.287356321839081,2.564102564102564,-2.723253757736517,1426
BDH Stevens,6.0109289617486334,0.0,-6.0109289617486334,209
BF Mailata,5.343511450381679,0.0,-5.343511450381679,160
BF Smith,4.761904761904762,20.0,15.238095238095237,122
BFW de Leede,3.662420382165605,2.127659574468085,-1.5347608076975199,729
BI Dilruksha,4.072398190045249,15.384615384615385,11.312217194570136,262
BJ Bennett,4.07725321888412,0.0,-4.07725321888412,1034
BJ Dwarshuis,7.489878542510121,0.0,-7.489878542510121,521
BJ Haddin,5.255681818181818,0.0,-5.255681818181818,793
BJ Hodge,3.2288698955365627,6.896551724137931,3.667681828601368,2312
BJ McCarthy,5.797101449275362,12.5,6.702898550724638,237
BJ McMullen,3.9603960396039604,12.5,8.53960396039604,444
BJ Rohrer,4.320987654320987,0.0,-4.320987654320987,863
BJ Webster,4.112903225806452,2.7777777777777777,-1.3351254480286743,1355
BKB Corbin,9.01639344262295,10.0,0.9836065573770494,148
BKG Mendis,4.498044328552804,5.970149253731343,1.472104925178539,1720
BL Mooney,2.3443815683104283,4.2105263157894735,1.8661447474790451,2726
BM Duckett,4.353932584269663,0.0,-4.353932584269663,755
BM Halliday,6.733167082294264,4.761904761904762,-1.9712623203895019,463
BM Pecic,4.761904761904762,8.333333333333332,3.5714285714285703,217
BMA Mbida,8.173076923076923,5.88235294117647,-2.2907239819004532,284
BMAJ Mendis,3.431372549019608,14.285714285714285,10.854341736694677,224
BMSM Kumari,6.25,9.090909090909092,2.8409090909090917,145
BN Cooper,3.664302600472813,3.571428571428571,-0.0928740290442418,934
BN Toube,4.390243902439024,8.695652173913043,4.305408271474019,255
BOP Fernando,1.9230769230769231,12.5,10.576923076923077,120
BR Dunk,5.291005291005291,2.083333333333333,-3.207671957671958,1467
BR McDermott,3.8445108927808627,2.083333333333333,-1.7611775594475296,2590
BRM Taylor,3.8036809815950923,10.0,6.196319018404908,903
BS Stephenson,6.25,0.0,-6.25,145
BW Hilfenhaus,5.64516129032258,14.285714285714285,8.640552995391705,140
BYA Mendis,6.045340050377834,5.263157894736842,-0.7821821556409922,493
Babar Azam,2.9658478130617136,3.418803418803419,0.45295560574170546,3657
Babar Hayat,4.628330995792426,1.1494252873563218,-3.4789057084361046,1645
Bakhtiar Tahiri,4.0,0.0,-4.0,155
Basil Hameed,4.28849902534113,0.0,-4.28849902534113,568
Bella Poon,8.16326530612245,9.090909090909092,0.9276437847866426,136
Bijeyata Kumari,2.793296089385475,7.6923076923076925,4.899011602922218,233
Bilal Masud,3.343465045592705,9.090909090909092,5.747444045316387,362
Bilal Tahir,5.3097345132743365,0.0,-5.3097345132743365,492
Bilal Zalmai,4.570637119113574,0.0,-4.570637119113574,810
Bismah Maroof,2.391904323827047,2.027027027027027,-0.36487729680002,2526
Bosco Tuyizere,5.769230769230769,12.5,6.730769230769231,122
Breeze Ahir,4.854368932038835,6.25,1.3956310679611654,134
Busra Uca,1.4705882352941175,4.761904761904762,3.291316526610644,105
C Agafili,7.228915662650602,6.666666666666667,-0.5622489959839347,109
C Aweko,7.643312101910828,0.0,-7.643312101910828,193
C Bah,9.554140127388536,0.0,-9.554140127388536,173
C Bogdanos,1.8518518518518516,20.0,18.14814814814815,125
C Bosch,6.6115702479338845,0.0,-6.6115702479338845,132
C Brennan,5.240174672489083,7.142857142857142,1.9026824703680596,257
C Bull,4.9853372434017595,0.0,-4.9853372434017595,429
C Campher,5.263157894736842,5.555555555555555,0.29239766081871377,742
C Chatphaisan,5.62015503875969,9.615384615384617,3.9952295766249266,623
C Chukwuonye,8.035714285714286,18.181818181818183,10.146103896103897,139
C Connolly,4.247104247104247,4.166666666666666,-0.08043758043758054,574
C Dickson,5.952380952380952,0.0,-5.952380952380952,199
C Forbes,6.140350877192982,0.0,-6.140350877192982,143
C Green,3.7383177570093453,11.76470588235294,8.026388125343594,918
C Hartmann,4.519774011299435,15.384615384615385,10.86484137331595,204
C Henery,6.0344827586206895,0.0,-6.0344827586206895,127
C Hinze,5.825242718446602,20.0,14.174757281553397,112
C Karunaratne,5.439330543933055,6.25,0.810669456066945,266
